year,tfidf_cluster,n,n_year,share
2021,7,3711,163394,0.022711972287844107
2021,8,2457,163394,0.01503727187044812
2021,9,1534,163394,0.00938834963340147
2021,10,1638,163394,0.01002484791363208
2021,11,55724,163394,0.34104067468817706
2021,12,4029,163394,0.02465818818316462
2021,13,8175,163394,0.050032436931588674
2021,14,1094,163394,0.006695472293964283
2021,15,5008,163394,0.030649840263412366
2021,16,23783,163394,0.14555614037235148
2021,17,2146,163394,0.013133897205527743
2021,18,522,163394,0.0031947317526959374
2021,19,1376,163394,0.008421361861512662
2022,0,33666,120495,0.27939748537283704
2022,1,12586,120495,0.10445246690734056
2022,2,4723,120495,0.03919664716378273
2022,3,4772,120495,0.039603303041619985
2022,4,1237,120495,0.010265986140503756
2022,5,3071,120495,0.025486534710983857
2022,6,438,120495,0.0036350056018921947
2022,7,955,120495,0.007925640068052617
2022,8,1038,120495,0.008614465330511639
2022,9,2419,120495,0.020075521805884063
2022,10,2091,120495,0.017353417154238764
2022,11,24,120495,0.00019917838914477779
2022,12,3699,120495,0.030698369226938877
2022,13,8962,120495,0.0743765301464791
2022,14,1622,120495,0.0134611394663679
2022,15,6128,120495,0.05085688202829993
2022,16,25302,120495,0.20998381675588199
2022,17,3074,120495,0.025511432009626956
2022,18,2893,120495,0.024009294991493423
2022,19,1795,120495,0.014896883688119839
2023,0,40786,167494,0.24350723010973527
2023,1,13379,167494,0.07987748814882921
2023,2,5368,167494,0.03204890921465844
2023,3,5152,167494,0.030759310781281718
2023,4,2311,167494,0.013797509164507385
2023,5,3404,167494,0.020323116051918277
2023,6,436,167494,0.002603078319223375
2023,8,956,167494,0.005707667140315474
2023,9,16041,167494,0.09577059476757377
2023,10,3345,167494,0.019970864627986674
2023,11,5,167494,2.9851815587424026e-05
2023,12,6482,167494,0.03869989372753651
2023,13,11560,167494,0.06901739763812435
2023,14,326,167494,0.0019463383763000466
2023,15,6842,167494,0.04084922444983104
2023,16,42252,167494,0.252259782439968
2023,17,3400,167494,0.020299234599448338
2023,18,3174,167494,0.018949932534896772
2023,19,2275,167494,0.013582576092277933
